State Abbreviation,State,Gender,Age,Education Code,Education Level,Degree Field,Occupation Code,Occupation,Annual Income,Employment,Location Quotient,Jobs per 1000,Hourly Mean,Annual Mean Wage
MD,Maryland,Female,57,114,Master's degree,6201,131082,Project Management Specialists,137276,32230.0,1.93,12.038,50.81,105680.0
MD,Maryland,Male,29,101,Bachelor's degree,6200,131111,Management Analysts,113712,21070.0,1.43,7.87,56.42,117360.0
MD,Maryland,Male,45,114,Master's degree,5501,113031,Financial Managers,129709,16140.0,1.16,6.028,78.36,162980.0
MD,Maryland,Male,46,114,Master's degree,3611,113012,Administrative Services Managers,132952,4550.0,1.06,1.698,60.34,125510.0
MD,Maryland,Male,49,114,Master's degree,2414,119041,Architectural And Engineering Managers,172946,4980.0,1.36,1.859,78.18,162610.0
MD,Maryland,Female,25,101,Bachelor's degree,4006,192099,"Physical Scientists, All Other",108091,2190.0,5.95,0.816,64.09,133310.0
MD,Maryland,Female,54,101,Bachelor's degree,6203,113061,Purchasing Managers,155651,2300.0,1.68,0.859,70.25,146110.0
MD,Maryland,Male,26,101,Bachelor's degree,2100,151241,Computer Network Architects,119549,6760.0,2.2,2.524,73.0,151840.0
MD,Maryland,Male,43,114,Master's degree,2102,151212,Information Security Analysts,135114,7890.0,2.55,2.947,66.44,138180.0
MD,Maryland,Male,54,116,Doctoral degree,5701,151212,Information Security Analysts,315626,7890.0,2.55,2.947,66.44,138180.0
MD,Maryland,Male,46,114,Master's degree,2408,151252,Software Developers,248610,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,42,101,Bachelor's degree,5301,333021,Detectives And Criminal Investigators,149166,980.0,0.52,0.365,57.65,119900.0
MD,Maryland,Male,27,114,Master's degree,2106,151241,Computer Network Architects,162137,6760.0,2.2,2.524,73.0,151840.0
MD,Maryland,Male,33,101,Bachelor's degree,6212,151244,Network And Computer Systems Administrators,140519,8040.0,1.41,3.002,55.91,116300.0
MD,Maryland,Male,42,116,Doctoral degree,3600,291051,Pharmacists,110383,5880.0,1.01,2.196,63.72,132530.0
MD,Maryland,Male,28,101,Bachelor's degree,2102,151252,Software Developers,135276,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Female,47,114,Master's degree,6107,119111,Medical And Health Services Managers,135114,14770.0,1.63,5.517,72.4,150590.0
MD,Maryland,Female,44,101,Bachelor's degree,4000,131199,"Business Operations Specialists, All Other",140519,42100.0,2.16,15.723,49.32,102580.0
MD,Maryland,Male,52,101,Bachelor's degree,2100,172011,Aerospace Engineers,183755,2810.0,2.39,1.05,73.17,152180.0
MD,Maryland,Male,35,101,Bachelor's degree,6004,131199,"Business Operations Specialists, All Other",111766,42100.0,2.16,15.723,49.32,102580.0
MD,Maryland,Male,52,114,Master's degree,2408,151299,"Computer Occupations, All Other",626388,21560.0,2.8,8.052,64.72,134610.0
MD,Maryland,Male,54,115,Professional degree,2102,151299,"Computer Occupations, All Other",110253,21560.0,2.8,8.052,64.72,134610.0
MD,Maryland,Male,38,101,Bachelor's degree,1903,112022,Sales Managers,108091,9230.0,0.91,3.449,68.3,142070.0
MD,Maryland,Female,47,101,Bachelor's degree,6209,151252,Software Developers,166460,30700.0,1.05,11.465,72.47,150740.0
MD,Maryland,Male,44,114,Master's degree,5501,113021,Computer And Information Systems Managers,140519,13570.0,1.3,5.068,81.85,170240.0
MD,Maryland,Female,46,114,Master's degree,2106,131199,"Business Operations Specialists, All Other",167758,42100.0,2.16,15.723,49.32,102580.0
MD,Maryland,Male,30,115,Professional degree,3600,291123,Physical Therapists,101606,4070.0,0.96,1.52,50.73,105520.0
MD,Maryland,Male,37,114,Master's degree,5901,172011,Aerospace Engineers,146896,2810.0,2.39,1.05,73.17,152180.0
